IRIS,REG,DEP,P14_POP,P14_POP0014
020270000,32,02,234,34
020280000,32,02,2607,499
020290000,32,02,373,66
020300000,32,02,292,68
020310000,32,02,662,133
020320000,32,02,242,53
020330000,32,02,108,20
020340000,32,02,102,23
020350000,32,02,284,89
020360000,32,02,87,21
020370000,32,02,1429,311
020380000,32,02,69,12
020390000,32,02,170,40
020400000,32,02,178,41
020410000,32,02,829,158
020420000,32,02,401,67
020430000,32,02,71,16
020440000,32,02,27,2
020460000,32,02,551,107
020470000,32,02,126,12
020480000,32,02,121,25
020490000,32,02,739,136
020500000,32,02,318,72
020510000,32,02,384,65
020520000,32,02,147,31
020530000,32,02,558,97
020540000,32,02,468,101
020550000,32,02,98,12
020560000,32,02,170,38
020570000,32,02,1452,292
020580000,32,02,800,200
020590000,32,02,2695,494
020600000,32,02,282,53
020610000,32,02,282,75
020620000,32,02,139,30
020630000,32,02,387,84
020640000,32,02,3820,589
020650000,32,02,624,114
020660000,32,02,211,38
020670000,32,02,214,43
020680000,32,02,110,33
020690000,32,02,120,29
020700000,32,02,444,100
020710000,32,02,640,129
020720000,32,02,189,35
020730000,32,02,613,127
020740000,32,02,618,138
020750000,32,02,202,39
020760000,32,02,174,60
020770000,32,02,401,78
020780000,32,02,152,41
020790000,32,02,165,20
020800000,32,02,361,71
020810000,32,02,509,113
020820000,32,02,108,20
020830000,32,02,721,146
020840000,32,02,259,57
020850000,32,02,1022,297
020860000,32,02,1076,221
020870000,32,02,30,6
020880000,32,02,72,17
020890000,32,02,1154,199
020900000,32,02,215,46
020910000,32,02,108,20
020930000,32,02,1231,259
020940000,32,02,418,84
020950000,32,02,5659,1209
020960000,32,02,197,45
020970000,32,02,259,56
020980000,32,02,380,68
020990000,32,02,241,57
021000000,32,02,134,31
021010000,32,02,201,43
021020000,32,02,199,57
021030000,32,02,1290,261
021040000,32,02,102,17
021050000,32,02,201,42
021060000,32,02,837,187
021070000,32,02,101,26
021080000,32,02,149,41
021090000,32,02,495,82
021100000,32,02,2267,464
021110000,32,02,709,131
021120000,32,02,597,113
021140000,32,02,1394,223
021150000,32,02,222,43
021160000,32,02,136,24
021170000,32,02,70,10
021180000,32,02,119,21
021190000,32,02,345,63
021200000,32,02,197,37
021210000,32,02,256,59
021220000,32,02,55,11
021230000,32,02,293,56
021240000,32,02,652,115
021250000,32,02,216,57
021260000,32,02,510,90
021270000,32,02,189,35
021280000,32,02,1545,267
021290000,32,02,20,4
021300000,32,02,180,30
021310000,32,02,1904,326
021320000,32,02,213,65
021330000,32,02,421,79
021340000,32,02,878,170
021350000,32,02,1180,232
021360000,32,02,131,25
021370000,32,02,133,38
021380000,32,02,187,35
021390000,32,02,433,92
021400000,32,02,455,100
021410000,32,02,1838,273
021420000,32,02,242,52
